ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
13204765,JG412994,09/06/23 2:10,081XX S PEORIA ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,0613,006,17,71,08B,1171722,1850939,2023,09/14/2023 03:43:09 PM,41.74643135,-87.64634573,"(41.746431352, -87.646345733)"
13202231,JG414162,09/06/23 17:38,073XX S ARTESIAN AVE,0460,BATTERY,SIMPLE,APARTMENT,FALSE,FALSE,0835,008,18,66,08B,1161314,1855911,2023,09/14/2023 03:43:09 PM,41.76029697,-87.6843458,"(41.760296965, -87.684345797)"
13201655,JG413525,09/06/23 12:58,004XX W 63RD ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,0722,007,20,68,08B,1174231,1863149,2023,09/14/2023 03:43:09 PM,41.77988171,-87.63678991,"(41.779881706, -87.636789913)"
13201514,JG413462,09/06/23 5:16,021XX S CANALPORT AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,OTHER (SPECIFY),FALSE,FALSE,1235,012,25,31,08A,1170364,1889785,2023,09/14/2023 03:43:09 PM,41.85305866,-87.65019051,"(41.853058663, -87.650190508)"
13202650,JG414607,09/06/23 21:30,027XX S PRAIRIE AVE,0820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,0133,001,4,35,06,1178499,1886506,2023,09/14/2023 03:43:09 PM,41.84387939,-87.62043259,"(41.843879386, -87.620432585)"
13202208,JG414257,09/06/23 20:50,017XX S WENTWORTH AVE,0630,BURGLARY,ATTEMPT FORCIBLE ENTRY,PARK PROPERTY,FALSE,FALSE,0914,009,11,33,05,1175333,1891876,2023,09/14/2023 03:43:09 PM,41.85868659,-87.6318901,"(41.858686589, -87.631890095)"
13575522,JH402082,08/25/2024 11:20:00 PM,053XX S MARSHFIELD AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,TRUE,TRUE,0932,009,16,61,08B,1166247,1869385,2024,09/02/24 15:41,41.7971678,-87.66588289,"(41.797167797, -87.665882888)"
13202179,JG413885,09/06/23 16:41,030XX N CICERO AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT / GARAGE (NON RESIDENTIAL),FALSE,FALSE,2521,025,31,19,07,1143852,1919599,2023,09/14/2023 03:43:09 PM,41.93540928,-87.74675098,"(41.935409279, -87.74675098)"
13204504,JG416844,09/06/23 12:00,031XX W LAWRENCE AVE,0560,ASSAULT,SIMPLE,OTHER (SPECIFY),FALSE,FALSE,1713,017,33,14,08A,1154413,1931719,2023,09/14/2023 03:43:09 PM,41.96846253,-87.70761329,"(41.968462532, -87.707613294)"
13201944,JG414001,09/06/23 17:30,046XX N LAKE SHORE DR NB,0820,THEFT,$500 AND UNDER,PARK PROPERTY,FALSE,FALSE,1914,019,46,3,06,1170862,1930976,2023,09/14/2023 03:43:09 PM,41.96607814,-87.64715324,"(41.96607814, -87.647153241)"
13202908,JG414182,09/06/23 19:54,087XX S STONY ISLAND AVE,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,FALSE,FALSE,0412,004,8,48,06,1188437,1847378,2023,09/14/2023 03:43:09 PM,41.73627709,-87.58521219,"(41.736277091, -87.585212192)"
13202572,JG414628,09/06/23 17:30,0000X W 72ND ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,0731,007,6,69,07,1176987,1857260,2023,09/14/2023 03:43:09 PM,41.76365995,-87.62686344,"(41.763659945, -87.626863438)"
